# device,NVIDIA GB10,cc,12.1,SMs,48,L2_bytes,25165824,cold_mult,4,torch,2.13.0+cu130,backend,native,cuda_graph,True,rounds,3,peak_alloc_GiB,1.475
shape,k,n,m,arm,bits,variant,n_rot,graph_calls,us_median,us_r1,us_r2,us_r3,bytes_per_call,gbs,ratio_vs_bf16_linear,calls_per_step,note
f_b_proj  unsharded,128,8192,64,exl3,5,coldA,48,200,10.342,10.366,10.328,10.342,1736960,168.0,0.9995,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,exl3,5,coldB,192,200,10.699,10.732,10.699,10.699,1736960,162.4,1.0352,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,exl3,6,warm,1,200,4.578,4.577,4.578,4.582,819712,179.1,0.7481,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,exl3,6,coldA,48,200,7.304,7.304,7.304,7.294,819712,112.2,0.7645,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,exl3,6,coldB,192,200,7.333,7.333,8.405,7.326,819712,111.8,0.7709,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,exl3,6,warm,1,200,4.917,4.918,4.913,4.917,936192,190.4,1.4744,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,exl3,6,coldA,48,200,7.522,7.522,7.520,8.585,936192,124.5,0.7544,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,exl3,6,coldB,192,200,7.504,7.524,7.504,7.504,936192,124.8,0.7552,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,exl3,6,warm,1,200,8.967,8.967,8.970,8.963,1868032,208.3,1.4000,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,exl3,6,coldA,48,200,11.184,11.184,11.182,11.189,1868032,167.0,1.0809,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,exl3,6,coldB,192,200,11.191,11.196,11.184,11.191,1868032,166.9,1.0829,0,"doc shape, replicated ref"
f_a_proj  replicated,4096,128,1,bf16_linear,16,warm,1,384,3.115,3.351,3.115,3.058,1057024,339.3,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,1,bf16_linear,16,coldA,96,384,5.917,5.916,5.917,5.921,1057024,178.6,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,1,bf16_linear,16,coldB,384,384,5.939,5.963,5.939,5.932,1057024,178.0,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,8,bf16_linear,16,warm,1,384,4.583,4.588,4.583,4.581,1116160,243.6,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,8,bf16_linear,16,coldA,96,384,8.513,8.492,8.546,8.513,1116160,131.1,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,8,bf16_linear,16,coldB,384,384,8.490,8.484,8.490,8.532,1116160,131.5,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,64,bf16_linear,16,warm,1,384,6.368,6.368,6.360,6.371,1589248,249.6,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,64,bf16_linear,16,coldA,96,384,7.931,8.018,7.924,7.931,1589248,200.4,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,64,bf16_linear,16,coldB,384,384,7.883,7.876,7.884,7.883,1589248,201.6,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,1,bf16_matmul,16,warm,1,384,4.451,4.455,4.446,4.451,1057024,237.5,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,1,bf16_matmul,16,coldA,96,384,7.124,8.429,7.124,7.109,1057024,148.4,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,1,bf16_matmul,16,coldB,384,384,7.007,6.995,7.007,7.020,1057024,150.9,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,8,bf16_matmul,16,warm,1,384,4.495,4.495,4.495,4.497,1116160,248.3,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,8,bf16_matmul,16,coldA,96,384,8.779,8.814,8.779,8.777,1116160,127.1,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,8,bf16_matmul,16,coldB,384,384,8.612,8.612,8.612,8.625,1116160,129.6,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,64,bf16_matmul,16,warm,1,384,6.335,6.316,6.335,6.339,1589248,250.9,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,64,bf16_matmul,16,coldA,96,384,8.107,8.050,8.129,8.107,1589248,196.0,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,64,bf16_matmul,16,coldB,384,384,8.341,8.348,8.318,8.341,1589248,190.5,,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,1,exl3,4,warm,1,384,5.559,5.558,5.559,5.561,279040,50.2,1.7845,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,1,exl3,4,coldA,96,384,6.546,6.576,6.546,6.540,279040,42.6,1.1064,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,1,exl3,4,coldB,384,384,7.076,7.083,7.076,7.073,279040,39.4,1.1916,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,8,exl3,4,warm,1,384,5.821,5.823,5.820,5.821,338176,58.1,1.2703,0,"in_proj half, 128 wide"
